"Run Time"	"F_7037AV"	"Av_Si_288"	"Av_SiF_440"	"Av_SIF_777"
43.00	3228.5	502.75	197.6	562
43.10	3199.25	488	193.8	555.4
43.20	3181.25	490.75	195.8	554
43.30	3157.75	468.75	204	557.4
43.40	3146.25	470	196.8	545.6
43.50	3111.25	460	190.4	542.6
43.60	3100.25	470	193	542
43.70	3078	461	185.2	533.4
43.80	3055.25	442.5	183	528.2
43.90	3053.75	449	187.6	534
44.00	3031.25	442.5	182.2	522.6
44.10	3024.5	453.75	189.8	536
44.20	3008	440	183	523.8
44.30	3009.5	442.5	183.4	523.2
44.40	3013.75	437.25	196.8	533.6
44.50	2984.5	437.75	182.8	519.6
44.60	2991.5	435.5	183.8	519.2
44.70	2982.75	428.75	175	515
44.80	2997	434	187.2	525.6
44.90	3022.5	436.75	185	522.4
45.00	3025.75	444	187.2	524
45.10	3017.75	437	181.2	521.6
45.20	3026.25	443.75	194.6	528.4
45.30	3007	431	182.8	520.2
45.40	3008.75	438.5	187.6	522.2
45.50	2990.75	432.5	182.6	512.4
45.60	2989.75	427	180.4	517.6
45.70	2996.5	433.25	191.8	526.6
45.80	2990.25	424.5	196	527.2
45.90	2990	428	196.6	525
46.00	2966	420.75	178.2	516.8
46.10	2956.75	419.25	179.4	512.6
46.20	2966.5	421.5	184.2	516.8
46.30	2953	420.25	179.6	515
46.40	2957.75	424	186	517.6
46.50	2942.25	418.5	188	518
46.60	2929.25	402.5	188	505.6
46.70	2915.25	413.75	181.4	506.8
46.80	2913.75	401.75	179.8	504.8
46.90	2905.5	402.25	176.8	499.4
47.00	2900.75	398.75	184	506
47.10	2898.75	406.5	178.4	501.8
47.20	2884	401.5	175.4	500.6
47.30	2881.25	399.25	181.2	504.8
47.40	2875	397.75	175.4	497
47.50	2872	394	178.4	498.6
47.60	2859.5	393	170	492.8
47.70	2868.5	404.75	180.6	501.8
47.80	2852	387.25	174.4	494.8
47.90	2848	390.25	180.4	498
48.00	2850.25	395.25	184.2	500
48.10	2844.75	391.5	178	498.8
48.20	2844.25	398.25	180.2	496.2
48.30	2839.75	391.5	179.8	496.8
48.40	2828	378.5	173.6	490.4
48.50	2819.75	390.75	172.8	489.4
48.60	2813.75	393.75	178.2	493.4
48.70	2814.5	387.25	182.2	497.6
48.80	2797.5	382.25	173	488
48.90	2805.75	385	178.4	493.2
49.00	2784.5	378.75	171.2	480.6
49.10	2785.75	378.25	169.2	481.4
49.20	2783.25	374	179	489
49.30	2777.75	375.75	171.8	483.2
49.40	2770.25	379	169.8	479.4
49.50	2772	375.5	176.2	481.2
49.60	2762.25	371	174.8	477.4
49.70	2757	374.75	171.2	482.4
49.80	2756.25	363.75	175.6	478
49.90	2745.75	365.75	165.6	477
50.00	2743.5	364.75	169.8	476.8
50.10	2746	375.5	175.4	480.4
50.20	2733.5	364.75	172.4	476.6
50.30	2722.25	363.5	168.2	474.2
50.40	2716.75	363.75	168.6	467.6
50.50	2722.5	358.5	166.8	472.6
50.60	2722.25	363.75	173.6	480.2
50.70	2706.5	356	168.8	471.6
50.80	2704.5	362	176.4	475.8
50.90	2702.5	361.25	171.8	471.8
51.00	2694.5	365.75	169.8	468.8
51.10	2703	361.25	178.4	479.4
51.20	2688.5	355.25	176.2	468.8
51.30	2674.25	355	165.4	462.6
51.40	2677	360.75	171.6	470.4
51.50	2660.75	363	166.2	464
51.60	2673	363.75	175.4	465.6
51.70	2666.75	352.5	175.2	472.4
51.80	2658.75	355.5	171.4	468.6
51.90	2654	353.25	172.4	465.8
52.00	2647	354	171.2	465.6
52.10	2635.5	352.25	163.4	457
52.20	2637.5	348.25	169	463.4
52.30	2616	342.25	160.2	454.2
52.40	2610.75	347	163.4	455.6
52.50	2619.5	358.5	172	459.4
52.60	2594.75	338.75	164.8	453.6
52.70	2592.75	351.25	165	454.2
52.80	2595.25	339.25	168.6	455
52.90	2598.25	353.25	175.6	461.4
53.00	2592	341.5	166.6	452.8
53.10	2572.75	339.5	160.2	451.8
53.20	2571	341.5	161.4	450.4
53.30	2563.5	344.25	166.6	455
53.40	2546	337.75	161.2	438.6
53.50	2550.75	329.25	166.4	448.8
53.60	2539.25	341.5	166.4	449.6
53.70	2539.25	327.5	173	450.4
53.80	2527	336.25	162.2	438.8
53.90	2523	328	159.6	440.2
54.00	2509.25	330.25	161.4	437.6
54.10	2512	333.5	171.2	446.6
54.20	2495.5	324.25	161	430.8
54.30	2487.5	325	165	441
54.40	2487	336.25	166.8	441.4
54.50	2461.75	327	160	431.4
54.60	2461.75	329.5	161.6	435
54.70	2442.75	314	152	422.4
54.80	2446	325.75	160.8	430.8
54.90	2423.5	316	161.6	425.4
55.00	2417.25	316	158.6	423
55.10	2405	314.25	154.6	419.6
55.20	2401.75	313.75	166.4	426.6
55.30	2372.25	300.25	155.2	416.2
55.40	2376.75	315.5	157.8	420.2
55.50	2357.75	312	160	413.6
55.60	2347.5	302	150	408.6
55.70	2338.5	309.25	162.4	416.2
55.80	2325	306.25	157.6	416.2
55.90	2316	308.5	163.2	409.8
56.00	2286	292.5	147.2	399.8
56.10	2278.75	300.75	155	405.2
56.20	2252.25	292.25	156.4	398
56.30	2256.5	295.75	154.6	393.6
56.40	2219	279	147.6	384.4
56.50	2234	292.75	156	395.4
56.60	2202.25	293	161.2	397
56.70	2179	278.25	148	376.8
56.80	2172.75	285	160.4	388.8
56.90	2155.5	285.75	150.8	385.2
57.00	2122.25	278.5	148	376.8
57.10	2099.75	272	141.8	367.4
57.20	2088	269.5	147.2	365.8
57.30	2068.75	261.75	143.8	362.4
57.40	2043.5	261.75	145	363.8
57.50	2038.75	268.25	157.6	369
57.60	2015.25	261	149.6	357
57.70	2010.25	262.75	150.6	360.8
57.80	1983.25	265	144.8	357.2
57.90	1954	254.5	147.2	352.4
58.00	1937.5	254.25	145.4	343
58.10	1918.25	249.5	136.8	339.6
58.20	1902	250.5	142.8	341.4
58.30	1902	254.5	147.4	346.2
58.40	1872.75	241.25	150.4	340.4
58.50	1857.25	246.75	140	336.6
58.60	1828.75	242.5	145.8	332.8
58.70	1812.75	232	144.8	330.8
58.80	1804.25	240.25	138.6	322
58.90	1776.5	227.5	137.2	314.8
59.00	1771	241	139.8	321.8
59.10	1749.75	231.5	136	315.6
59.20	1732.75	234.5	137.4	312.8
59.30	1718.75	230.75	136.8	311.8
59.40	1705.75	231.5	136.2	306.2
59.50	1691.25	224.75	137.2	310
59.60	1673.75	225.25	135.8	312.6
59.70	1657.25	210	132.2	297.4
59.80	1654.5	218	131	296.2
59.90	1658.75	217	137	302.4
60.00	1643.75	219.25	141	303
60.10	1643	221	153.6	313
60.20	1632	218.25	132.8	289.2
60.30	1627.75	219	141.6	301.8
60.40	1611	216	134.8	291.2
60.50	1609	224.75	141.8	300.6
60.60	1602	218.75	141.4	294.4
60.70	1591.75	225.5	140.4	294
60.80	1582	215.5	146.4	300.4
60.90	1568	214.75	138.6	289.2
61.00	1561.25	213	134	288.8
61.10	1550.25	212.5	129	279.6
61.20	1536.5	208.25	128.2	277.4
61.30	1537.75	212.5	132.2	282.4
61.40	1533	212.75	135.2	278
61.50	1530.75	217.25	136.4	286
61.60	1521.75	208	140.4	281.6
61.70	1527.5	216	143.2	288.6
61.80	1505.75	210.5	132.4	276.2
61.90	1502.25	206.75	132	275.4
62.00	1498.5	206.75	136.2	283.2
62.10	1487.5	200.25	126.4	269.8
62.20	1492	213.5	138	276.2
62.30	1486.75	198.5	136	271.8
62.40	1491.5	214.5	131.4	272.8
62.50	1477.5	202.75	134	275.4
62.60	1468.25	204	134.6	275
62.70	1483	202.5	141.6	280.4
62.80	1466.5	195.75	126.4	266
62.90	1471.75	205	137	274.6
63.00	1468	204.25	136.8	275.4
63.10	1464.5	200	136.8	275
63.20	1448.75	197	125.8	261
63.30	1452.75	199.5	136.2	273.8
63.40	1460.25	204.25	145.2	280.6
63.50	1451.5	214.25	138.8	274.8
63.60	1449.75	203.25	140.2	276
63.70	1460.25	205.5	141	276.2
63.80	1441.25	204	134.2	267.6
63.90	1440.25	196.5	128.2	265.2
64.00	1448	197.75	136.4	271.8
64.10	1432.5	197.5	129.2	261.8
64.20	1445.75	200	138.6	273.8
64.30	1438.5	196	138.2	275.8
64.40	1442	203.5	138.2	269
64.50	1439.75	197.5	139.2	273.2
64.60	1436	206.75	137.2	275.4
64.70	1438.25	203.5	140.2	275.4
64.80	1440.75	205.5	144.2	273
64.90	1436.5	201.25	138.6	278
65.00	1424.75	200.5	132.6	263.4
65.10	1438.5	200	139.2	276.2
65.20	1430.5	193.25	132.2	268.2
65.30	1426.5	198.75	130.4	267.8
65.40	1443	204.75	147.2	278
65.50	1423.5	200.75	130.6	263.8
65.60	1418	192.25	129.2	261.2
65.70	1424.5	192.5	133.8	264.8
65.80	1424	198	129.4	267.8
65.90	1439.75	195.5	147	278.2
66.00	1427	198.25	129.6	267.2
66.10	1423.5	197.75	131.4	263
66.20	1425	197.5	133.4	270.8
66.30	1423.75	199	136.6	269.2
66.40	1435.75	206.25	134.2	269.2
66.50	1424.25	197.5	133.4	265.8
66.60	1436	196.25	139.8	273.2
66.70	1421.75	191.25	126	262.8
66.80	1438.25	196.25	134.8	269
66.90	1431.5	195	132.8	266.6
67.00	1439.75	197.25	140	272.8
67.10	1437.5	199.25	132.4	271.2
67.20	1436.75	194.5	137	273
67.30	1429.5	191.5	131.4	266.2
67.40	1443.5	200.75	141.6	274.6
67.50	1441.5	197.75	137.6	276.6
67.60	1431.5	199.75	128.4	263.6
67.70	1434.5	199.75	130	271.4
67.80	1438.25	203.5	134	266.8
67.90	1435.5	203	135.6	269.4
68.00	1443.75	196.25	137.6	272
68.10	1434.5	199.5	129.4	265.4
68.20	1437.75	192.25	130.4	265.2
68.30	1449.75	197	137.6	271.6
68.40	1444.25	204.75	131.6	269.4
68.50	1443.5	187.75	136.2	268
68.60	1444.75	199.5	129.8	264.8
68.70	1462.75	206.5	141.4	279
68.80	1439.5	186.5	123.8	258.2
68.90	1454.25	196.5	127.2	267.8
69.00	1465	201.75	143.2	282.6
69.10	1456.75	194.5	130.6	264.8
69.20	1453	197	128.8	268
69.30	1461	202.75	141.2	278
69.40	1464.5	197.75	137.6	279.8
69.50	1467.25	206.75	142.6	279.4
69.60	1471.25	202.5	137.8	274.4
69.70	1465.25	205.5	134.4	272.4
69.80	1452.75	194	122	265.6
69.90	1482.25	202	140.4	280.8
70.00	1473.75	200	140	275.4
70.10	1481.75	196.25	134.6	272.4
70.20	1479	199.75	133.8	273.8
70.30	1491	204.25	139.6	278.8
70.40	1475.5	199.75	132	272.8
70.50	1492	194.25	142	285.6
70.60	1487.75	206.75	133.6	276.6
70.70	1480.75	198.25	133.6	275.4
70.80	1491.75	203	130	273.8
70.90	1504.75	202.75	144	282.2
71.00	1500.5	193	131.6	277.2
71.10	1510	203.75	146.2	290.6
71.20	1512.25	210.75	141	285.6
71.30	1504.5	203.5	134	281.8
71.40	1509.75	204.5	133.2	280.4
71.50	1510.75	202.75	132.6	278.4
71.60	1524	210	136.6	285.6
71.70	1517.25	202	133.4	275.8
71.80	1531.25	201	138.8	286
71.90	1531.25	201.5	137.2	287.2
72.00	1528	195.5	130.6	280
72.10	1537.25	209	134	281.4
72.20	1537	204.5	134	285
72.30	1537.75	197	130	280.6
72.40	1540.75	199.75	132.2	283
72.50	1552	210.5	134.2	284.6
72.60	1563	215.25	134.4	284.2
72.70	1567.5	205	133.8	285.8
72.80	1564	204.25	129.6	287
72.90	1597.5	208.5	148.6	306.2
73.00	1584.5	213	136.2	288.4
73.10	1592.75	210	136.4	297.6
73.20	1588.5	211.25	132.4	289.2
73.30	1615	215	143.6	302.2
73.40	1618	212.75	143	299.4
73.50	1612	205	124.8	288.4
73.60	1620.5	215.25	133	292.8
73.70	1627	206.75	140.4	304.8
73.80	1644.75	210.5	142.2	306.2
73.90	1651.5	218.75	136	304.4
